"代號","名稱","股價日期","成交","股價最高","股價最低","成交張數","5日均線","10日均線","月均線","季均線"
"00863B","中信全球電信債","09/09","42.71","42.71","42.68","210","42.96↘","42.76↘","43.04↘","43.4↘"
"00864B","中信美國公債0-1","09/09","38.62","38.62","38.59","210","38.62↘","38.65↘","38.7↘","38.79↘"
"00867B","新光A-BBB電信債","09/09","42.94","42.94","42.94","2","43.08↗","42.76↗","43.07↘","43.45↗"
"00868B","FT1-3年美公債","09/09","39.19","39.19","39.16","102","39.19↘","39.19↗","39.19↘","39.45↘"
"00869B","FT10-25年公司債","09/09","40.85","40.85","40.82","30","40.93↗","40.8↗","41.04↘","41.36↗"
"00870B","元大15年EM主權債","09/09","42.85","42.85","42.8","260","43.14↘","42.99↘","43.4↘","42.5↗"
"00871B","元大中國政金債","09/09","39.05","39.05","39.04","200","39.15↘","39.2↗","39.13↗","38.82↗"
"00872B","凱基美債1-3","09/09","39.72","39.75","39.72","102","39.71↗","39.71→","39.73↘","39.84↘"
"00873B","凱基新興債1-5","09/09","39.14","39.24","39.14","108","39.18↘","39.18↘","39.19↘","38.99↘"
"00874B","凱基BBB公司債15+","09/09","39.83","39.86","39.83","115","40.23↘","40.13↘","40.42↘","40.43↘"
="00877","FH中國5G","09/09","14.01","14.23","13.99","12,038","14.43↘","14.58↘","14.6↘",""
"00879B","第一金美債0-1","09/09","39.6","39.6","39.5","110","39.59↘","39.59↗","",""
"00880B","第一金電信債15+","09/09","39.45","39.45","39.15","103","39.48↗","39.2↗","",""
="020001","富邦存股雙十N","09/09","5.27","5.27","5.22","76","5.31↘","5.32↘","5.39↘","5.39↗"
="020003","統一漲升股利150N","09/09","11.44","11.44","11.44","0","11.39↗","11.39↘","11.45↘","11.21↗"
="020009","群益A50綠碳N","09/09","22.41","22.41","22.41","0","22.67↘","22.73↘","22.58↗","21.76↗"
="020010","永昌富櫃200N","09/09","12.56","12.56","12.35","31","12.55↘","12.59↘","12.45↗","12.33↗"
="020013","元富亞洲高股息N","09/09","13.35","13.35","13.35","1","13.4↘","13.52↘","13.67↘","13.43↗"
="020014","元大富櫃200N","09/09","5.8","5.81","5.77","11","5.8↘","5.82↘","5.74↗","5.69↗"
="020017","永豐富櫃200N","09/09","5.59","5.59","5.59","8","5.65↘","5.67↘","5.61↗",""
="1240","茂生農經","09/09","54.3","54.4","53.9","28","54.5↗","54.78↘","57.18↘","58.84↗"
="1258","其祥-KY","09/09","13.15","13.2","13.05","51","13.54↘","13.64↘","13.75↗","12.61↗"
="1259","安心","09/09","67.8","67.8","67.4","15","67.5↗","67.48↗","67.58↘","68.17↘"
="1264","德麥","09/09","218.5","218.5","218","10","218.5↘","218.6↘","218.6↗","217.6↘"
="1268","漢來美食","09/09","128.5","129","128","10","128.2→","128.3↘","132.3↘","135.1↘"
="1336","台翰","09/09","16.7","17.4","16.35","10,461","16.74↘","16.91↗","16.41↗","15.97↗"
="1565","精華","09/09","272","275","265","518","270.2↘","282.4↘","285.9↘","320.4↘"
="1569","濱川","09/09","30.8","31.15","29.95","1,432","31.31↘","31.76↗","31.12↗","27.72↗"
